eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
1.97E+11,1970,1,1,,0,,217,United States,1,North America,Illinois,Cairo,37.005105,-89.176269,1,0,,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,22,"Police Building (headquarters, station, school)",Cairo Police Department,Cairo Police Headquarters,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To protest the Cairo Illinois Police Deparment,0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Several gunshots were fired.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,0,,,,,,,,,"The Cairo Chief of Police, William Petersen, resigned as a result of the attack.","""Police Chief Quits,"" Washington Post, January 2, 1970.","""Cairo Police Chief Quits; Decries Local 'Militants',"" Afro-American, January 10, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,1,25,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1,0,Manhattan,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,New York Police Department,New York Police Officers responding to a call in Harlem,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Nine thirty-caliber cartridges from a carbine and eleven nine-millimeter shells,0,0,0,2,2,0,1,3,Minor (likely < $1 million),,One window in a building shattered,0,,,,,,,0,,,,,,,,,Police do not believe that this attack was related to the shooting of a police officer in Queens hours later (197001260003).,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Martin Arnold, ""Harlem Area Sealed Off As Police Hunt Snipers,"" New York Times, January 27, 1970.","""2 Policemen Wounded by Sniper Fire,"" New York Times, January 26, 1970.",Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,1,26,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1,0,Queens,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions.  The perpetrators in the car immediately fired two shots at Officer Blik and then drove away.  Officer Blik was not hit.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,23,Police Patrol (including vehicles and convoys),New York Police Department,New York Police Officer on patrol in Forest Hills,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,Police do not believe that this attack was related to the shooting of two police officers in Manhattan hours earlier (197001250002).,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Martin Arnold, ""Harlem Area Sealed Off As Police Hunt Snipers,"" New York Times, January 27, 1970.","""2 Policemen Wounded by Sniper Fire,"" New York Times, January 26, 1970.",Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,2,1,,0,,217,United States,1,North America,Illinois,Cairo,37.005105,-89.176269,1,0,Pyramid Courts,"2/1/1970: Unknown perpetrators fired shots at an Illinois State Police Car that was patrolling the all-Black Pyramid Courts housing development in Cairo, Illinois, United States.  Three bullets struck the police car of Officers Harold Nelson and John Abercrombie.  Neither officer was injured but the windshield of vehicle car was shattered.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,22,"Police Building (headquarters, station, school)",Illinois State Police,Illinois State Police in the Pyramid Courts housing project,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To protest police presence in Pyramid Courts,0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,High-powered rifle or carbine,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Windshield of police car shattered,0,,,,,,,0,,,,,,,,,"This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.  Officer Nelson was Black and Officer Abercrombie was White.  A few days after the incident Reverend Charles Koen, a Black community leader, sent a request to the governor of Illinois that State Police patrols be removed from Pyramid Courts.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Shooting Inquiry at Cairo,"" The Southeast Missourian, February 2, 1970.","""Front Asks Time With Governor,"" The Southeast Missourian, February 3, 1970.",Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,2,16,,0,,217,United States,1,North America,California,San Francisco,37.755363,-122.443352,1,0,The incident occurred at the Hall of Justice.,"2/16/1970: Four hours after a San Francisco Police Station was bombed in California, United States, a sniper took aim at three police officers.  However, police fired at the sniper before he could get a shot off.  The sniper and a companion fled the scene before being apprehended.",1,1,1,0,,,1,0,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,San Francisco Police Department,San Francisco Police Officers,217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,To intimidate the police.,0,,,0,1,-99,0,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Telescope-sighted rifle,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,This attack is linked with 197002160001.  The sniper and his companion were described as hippie types.,"""San Francisco Bomb Injured 7 Policemen,"" Washington Post, February 18, 1970.",,,Hewitt Project,-9,-9,0,-9,"197002160001, 197002160004"
1.97E+11,1970,4,17,,0,,217,United States,1,North America,California,Oakland,37.791927,-122.225906,1,0,,"4/17/1970: Suspected members of the Black Panther Party ambushed a police paddy wagon carrying two police officers and four prisoners in Oakland, California, United States.  Both police officers were critically wounded.  In the ensuing car chase, the perpetrators threw fragmentation grenades at police vehicles causing major damage.  Two of the assailants were eventually captured.",1,1,1,0,,,0,1,0,2,Armed Assault,3,Bombing/Explosion,,,3,Police,23,Police Patrol (including vehicles and convoys),Oakland Police Department,Oakland Police Paddy Wagon,217,United States,,,,,,,,,,,,,,,,,Black Panthers,,,,,,To kill police,1,,,0,-99,2,0,,,,,,,,,,5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,7,Grenade,,,,,,,,,Automatic weapons and fragmentation grenades,0,0,0,2,2,0,1,3,Minor (likely < $1 million),,Police vehicles heavily damaged,0,,,,,,,0,,,,,,,,,"The Black Panther Party denied involvement in the attack, however, one of the captured assailants, Lewis R. Williams, was a captain in the BPP.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""5 Killed by Tornado in Mississippi,"" Washington Post, April 20, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,0,0,0,0,
1.97E+11,1970,4,24,,0,,217,United States,1,North America,Maryland,Baltimore,39.308342,-76.616104,1,0,West Baltimore,"4/24/1970: Three members of the Black Panthers Party opened fire on a police vehicle parked in Baltimore, Maryland, United States.  Patrolman Donald Sager was killed and police officer Stanley Sierakowski was critically wounded but survived.  The perpetrators were under orders from the Black Panthers to kill police.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Baltimore Police Department,Baltimore Police Officers,217,United States,,,,,,,,,,,,,,,,,Black Panthers,,,,,,To kill police,0,,,0,3,3,0,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,.45 caliber semi-automatic pistol and .38 caliber pistol,1,1,0,1,1,0,0,,,,,0,,,,,,,0,,,,,,,,,The killings were part of a Black Panthers initiation ritual.  All three perpetrators were convicted and received life sentences.,"George J. Hiltner, ""City Panther is Convicted of Murder,"" Washington Post, January 16, 1970.","Laurie Willis, ""Judge Affirms 1972 Life Term,"" Baltimore Sun, December 5, 1972.","George J. Hiltner, ""Panther Gets Life, 15 Years in Police Killings,"" Washington Post, June 17, 1972.",Hewitt Project,0,0,0,0,
1.97E+11,1970,5,9,,0,,217,United States,1,North America,California,Sacramento,38.551295,-121.471066,1,0,Oak Park,"5/9/1970: Sacramento Police Officer Bernard Bennett was shot and killed by a sniper, suspected of being a Black Militant, as the he was patrolling the Oak Park area of Sacramento, United States, with his partner Officer Lloyd Smothers.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Sacramento Police Department,Sacramento Police Officers,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To punish Sacramento Police officers for their treatment of African Americans,0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Sniper; a total of six bullets fired,1,1,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,"The bullet struck officer Bennett in the head.  This attack occurred during heightened tensions between the police and the African American community of Sacramento California.  The police originally charged seven people, with ties to various Black National organizations including the Black Panther Party, for the attack.  However,  the suspected perpetrators were acquitted of the crime during their trial due to lack of evidence.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","David Colvin, ""Black Politics After the Civil Rights Movement: Activity and Beliefs in Sacramento, 1970-2000,"" McFarland & Company, Inc., 2009.","""Sacramento Policeman Shot,"" New York Times, May 11, 1970.",Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,5,22,,0,,217,United States,1,North America,Minnesota,St. Paul,44.946604,-93.136446,1,0,859 Hague Avenue,"5/22/1970: Police Officer James Sackett is murdered by a sniper after he responded to a fake emergency call in St. Paul, Minnesota, United States.  Over thirty-five years after Sackett's death Ronald Reed and Larry Clark were convicted of the murder.  They were Black Panther wannabe's who wanted to kill a police officer.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,St. Paul Police Department,St. Paul Police Officer,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police indiscriminately,0,,,0,2,2,0,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,High-powered rifle,1,1,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,"Constance Trimble, the former girlfriend of Ronald Reed, stated that she made the phony phone call to lure a St. Paul Police Officer.  Reed and Clark were both convicted of first-degree murder and conspiracy and sentenced to life in prison.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Shannon Prather, ""Court Upholds Verdict in Cop Killings,"" St. Paul Pioneer Press, August 23, 2007.","""St. Paul Police Officer James Sackett, 27, Is Killed By A Shot From A High-Powered Rifle,"" St. Paul Pioneer Press, May 7, 2006.",Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,5,28,,0,,217,United States,1,North America,California,Sacramento,38.579065,-121.491014,1,0,,,1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Sacramento Police,Policeman,217,United States,,,,,,,,,,,,,,,,,Black Panthers,,,,,,,0,,,0,6,,,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,Pistols,1,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
